Date,^DJI,^FCHI,^FTSE,^GSPC,^HSI,^IXIC,^N225,^STOXX50E
2024-05-10,39512.83984375,8219.1396484375,8433.7998046875,5222.68017578125,18963.6796875,16340.8701171875,38229.109375,5085.080078125
2024-05-13,39431.51171875,8209.2802734375,8415.0,5221.419921875,19115.060546875,16388.240234375,38179.4609375,5078.9599609375
2024-05-14,39558.109375,8225.7998046875,8428.099609375,5246.68017578125,19073.7109375,16511.1796875,38356.05859375,5080.2900390625
2024-05-15,39908.0,8239.990234375,8445.7998046875,5308.14990234375,,16742.390625,38385.73046875,5100.89990234375
2024-05-16,39869.37890625,8188.490234375,8438.7001953125,5297.10009765625,19376.529296875,16698.3203125,38920.26171875,5072.4501953125
2024-05-17,40003.58984375,8167.5,8420.2998046875,5303.27001953125,19553.609375,16685.970703125,38787.37890625,5064.14013671875
2024-05-20,39806.76953125,8195.9697265625,8424.2001953125,5308.1298828125,19636.220703125,16794.869140625,39069.6796875,
2024-05-21,39872.98828125,8141.4599609375,8416.5,5321.41015625,19220.619140625,16832.619140625,38946.9296875,5046.990234375
2024-05-22,39671.0390625,8092.10986328125,8370.2998046875,5307.009765625,19195.599609375,16801.5390625,38617.1015625,5025.169921875
2024-05-23,39065.26171875,8102.330078125,8339.2001953125,5267.83984375,18868.7109375,16736.029296875,39103.21875,5037.60009765625
2024-05-24,39069.58984375,8094.97021484375,8317.599609375,5304.72021484375,18608.939453125,16920.7890625,38646.109375,5035.41015625
2024-05-27,,8132.490234375,,,18827.349609375,,38900.01953125,5059.2001953125
2024-05-28,38852.859375,8057.7998046875,8254.2001953125,5306.0400390625,18821.16015625,17019.880859375,38855.37109375,5030.35009765625
2024-05-29,38441.5390625,7935.02978515625,8183.10009765625,5266.9501953125,18477.009765625,16920.580078125,38556.87109375,4963.2001953125
2024-05-30,38111.48046875,7978.509765625,8231.099609375,5235.47998046875,18230.189453125,16737.080078125,38054.12890625,4982.18017578125
2024-05-31,38686.3203125,7992.8701171875,8275.400390625,5277.509765625,18079.609375,16735.01953125,38487.8984375,4983.669921875
2024-06-03,38571.03125,7998.02001953125,8262.7998046875,5283.39990234375,18403.0390625,16828.669921875,38923.03125,5003.5400390625
2024-06-04,38711.2890625,7937.89990234375,8232.0,5291.33984375,18444.109375,16857.05078125,38837.4609375,4953.3701171875
2024-06-05,38807.328125,8006.56982421875,8247.0,5354.02978515625,18424.9609375,17187.900390625,38490.171875,5035.66015625
2024-06-06,38886.171875,8040.1201171875,8285.2998046875,5352.9599609375,18476.80078125,17173.119140625,38703.51171875,5069.08984375
2024-06-07,38798.98828125,8001.7998046875,8245.400390625,5346.990234375,18366.94921875,17133.130859375,38683.9296875,5051.31005859375
2024-06-10,38868.0390625,7893.97998046875,8228.5,5360.7900390625,,17192.529296875,39038.16015625,5016.47998046875
2024-06-11,38747.421875,7789.2099609375,8147.7998046875,5375.31982421875,18176.33984375,17343.55078125,39134.7890625,4965.08984375
